id,create_date,country,organizational_type,type,subtype
133091919,2024-01-29,can,Corporation,service_provider,service_provider__other
316860773,2024-01-29,can,Corporation,retailers_and_resellers,retailers_and_resellers__store_retailer
605197018,2024-02-01,can,Corporation,retailers_and_resellers,retailers_and_resellers__store_retailer
247206764,2024-02-05,us,Limited Partnership,service_provider,restaurant_caterer_bar
600306096,2024-02-05,can,Sole Proprietorship,other,other__other_please_specify
937728458,2024-02-05,us,Sole Proprietorship,artists_photographers_creative,atrists_photographers_creative__visual_artist
281598682,2024-02-06,us,Sole Proprietorship,other,other__other_please_specify
854478937,2024-02-05,us,Limited Partnership,realestate_home,construction_home_improvement__other_trades
188269941,2024-02-06,us,Limited Partnership,service_provider,service_provider__cleaning_janitorial_services
576050521,2024-02-07,us,Limited Partnership,web_media_freelancer,advertising_public_relations
200286468,2024-02-07,us,Limited Partnership,realestate_home,real_estate_sales__agent
183232251,2024-02-07,us,Sole Proprietorship,realestate_home,real_estate_sales__agent
627477612,2024-02-07,us,Corporation,other,other__other_please_specify
976851976,2024-02-07,us,Corporation,realestate_home,construction_home_improvement__other_trades
799673211,2024-02-08,us,Limited Partnership,service_provider,service_provider__cleaning_janitorial_services
830917052,2024-02-08,us,Limited Partnership,product_provider,product_provider__manufacturer
361591614,2024-02-08,us,Sole Proprietorship,other,other__other_please_specify
553172211,2024-02-06,us,Limited Partnership,realestate_home,construction_home_improvement__other_trades
979929947,2024-02-01,can,Sole Proprietorship,realestate_home,construction_home_improvement__other_trades
631528628,2024-02-08,us,Limited Partnership,other,other__other_please_specify
538653843,2024-02-08,us,Corporation,consultants_professionals,legal_services
438527112,2024-02-08,can,Corporation,consultants_professionals,design_architecture_engineering
175822521,2024-02-08,us,Limited Partnership,other,other__other_please_specify
726209318,2024-02-08,us,Sole Proprietorship,artists_photographers_creative,atrists_photographers_creative__performing_arts_acting_music_dance
440133457,2024-02-06,us,Sole Proprietorship,realestate_home,real_estate_sales__agent
870617932,2024-02-07,us,Sole Proprietorship,realestate_home,real_estate_sales__agent
628855146,2024-02-09,us,Limited Partnership,other,other__other_please_specify
862803718,2024-02-09,us,Limited Partnership,other,other__other_please_specify
682234086,2024-02-09,can,Corporation,nonprofit_associations_groups,nonprofit_associations_groups__association
818926688,2024-02-09,can,Corporation,web_media_freelancer,web_media_freelancer__designer
964936118,2024-02-09,can,Corporation,retailers_and_resellers,retailers_and_resellers__non_store_retailer
781127334,2024-02-09,us,Corporation,other,other__other_please_specify
286185747,2024-02-06,us,Sole Proprietorship,service_provider,service_provider__office_admin_support
564394347,2024-02-08,us,Limited Partnership,retailers_and_resellers,retailers_and_resellers__non_store_retailer
120933615,2024-02-11,us,Corporation,realestate_home,real_estate_sales__agent
